"","node","0","1"
"43",43,0.6523,0.3477
"44",44,0.7522,0.2478
"45",45,0.7758,0.2242
"46",46,0.9314,0.0686
"47",47,0.9348,0.0652
"48",48,0.9779,0.0221
"49",49,0.9978,0.0022
"50",50,0.9999,1e-04
"51",51,1,0
"52",52,1,0
"53",53,0.9997,3e-04
"54",54,0.8935,0.1065
"55",55,0.8285,0.1715
"56",56,0.8218,0.1782
"57",57,0.9528,0.0472
"58",58,0.968,0.032
"59",59,0.8252,0.1748
"60",60,0.6736,0.3264
"61",61,0.6582,0.3418
"62",62,0.626,0.374
"63",63,0.2854,0.7146
"64",64,0.9805,0.0195
"65",65,0.6536,0.3464
"66",66,0.6159,0.3841
"67",67,0.2552,0.7448
"68",68,0.9478,0.0522
"69",69,0.9837,0.0163
"70",70,0.9902,0.0098
"71",71,0.0158,0.9842
"72",72,0.0121,0.9879
"73",73,0.0037,0.9963
"74",74,0.002,0.998
"75",75,4e-04,0.9996
"76",76,2e-04,0.9998
"77",77,9e-04,0.9991
"78",78,0.0018,0.9982
"79",79,0.0017,0.9983
"80",80,0.0021,0.9979
"81",81,0.0034,0.9966
"82",82,0.0374,0.9626
"83",83,0.001,0.999
