"","species","specimens"
"1","Heliophila acuminata",28
"2","Heliophila africana",88
"3","Heliophila amplexicaulis",59
"4","Heliophila arenaria",65
"5","Heliophila carnosa",128
"6","Heliophila cedarbergensis",3
"7","Heliophila collina",14
"8","Heliophila cornellsbergia",2
"9","Heliophila cornuta",101
"10","Heliophila coronopifolia",40
"11","Heliophila crithmifolia",96
"12","Heliophila descurva",12
"13","Heliophila deserticola",133
"14","Heliophila digitata",30
"15","Heliophila dregeana",16
"16","Heliophila elongata",81
"17","Heliophila ephemera",3
"18","Heliophila esterhuyseniae",3
"19","Heliophila eximia",12
"20","Heliophila gariepina",12
"21","Heliophila glauca",35
"22","Heliophila juncea",148
"23","Heliophila linearis",94
"24","Heliophila macowaniana",29
"25","Heliophila macra",22
"26","Heliophila macrosperma",5
"27","Heliophila minima",35
"28","Heliophila namaquana",16
"29","Heliophila nubigena",19
"30","Heliophila pectinata",16
"31","Heliophila polygaloides",12
"32","Heliophila pubescens",9
"33","Heliophila pusilla",44
"34","Heliophila rigidiuscula",201
"35","Heliophila scoparia",105
"36","Heliophila seselifolia",78
"37","Heliophila suavissima",92
"38","Heliophila subulata",103
"39","Heliophila tricuspidata",8
"40","Heliophila trifurca",77
"41","Heliophila tulbaghensis",3
"42","Heliophila variabilis",96
